"id","correct_name"
"2018/28/C/HS5/00543","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/B/ST6/01994","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/B/ST7/06005","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/B/ST6/01393","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/D/ST6/06146","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/D/ST7/00789","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/D/ST7/03131","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/D/ST7/05166","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/B/ST7/01833","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/07/B/ST6/01229","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/B/ST7/01840","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/D/ST6/00914","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/D/ST7/01783","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/N/ST6/01397","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/N/ST7/00443","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/04/M/ST7/00799","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/N/ST6/03433","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/N/ST6/03461","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/N/ST6/03463","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/N/ST7/00200","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/06/M/ST1/00358","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/06/M/ST1/00363","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/08/S/ST7/00576","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
